tick_id,ID,trial,obs_date,arena,sex,treatment,origin,velocity,distance_cm,time_moving_s,time_not_moving_s,video_title,time_moving_min,distance_m,com_garden_date,retention,time,distance
240110-1,1,Trial    35,240110,Arena 1,m,warm,lab,0.120653,10424.4,49727.9,36672.2,240110,828.7983333,104.244,240109,1,828.7983333,104.244
240110-2,2,Trial    35,240110,Arena 2,f,warm,lab,0.264272,22793.5,80965,5285.85,240110,1349.416667,227.935,240109,1,1349.416667,227.935
240110-3,3,Trial    35,240110,Arena 3,m,cold,lab,0.121916,10526.7,43655.7,42688.4,240110,727.595,105.267,240109,1,727.595,105.267
240110-4,4,Trial    35,240110,Arena 4,f,cold,lab,0.0668742,5777.93,37640.1,48759.9,240110,627.335,57.7793,240109,1,627.335,57.7793
240111-1,5,Trial    36,240111,Arena 1,f,warm,lab,0.322356,27626.4,83119.3,2585.02,240111,1385.321667,276.264,240109,2,1385.321667,276.264
240111-2,6,Trial    36,240111,Arena 2,m,cold,lab,0.0650283,5615.84,32938.8,53421.5,240111,548.98,56.1584,240109,2,548.98,56.1584
240111-3,7,Trial    36,240111,Arena 3,f,cold,lab,0.0426924,3687.04,36900.6,49462.4,240111,615.01,36.8704,240109,2,615.01,36.8704
240111-4,8,Trial    36,240111,Arena 4,m,warm,lab,0.175031,7394.03,24433.6,17811.2,240111,407.2266667,73.9403,240109,2,407.2266667,73.9403
240112-1,9,Trial    37,240112,Arena 1,f,warm,lab,0.248188,21421.4,68660.7,17650.3,240112,1144.345,214.214,240109,3,1144.345,214.214
240112-2,10,Trial    37,240112,Arena 2,m,cold,lab,0.261378,15914.6,57315.4,3573.23,240112,955.2566667,159.146,240109,3,955.2566667,159.146
240112-3,11,Trial    37,240112,Arena 3,f,cold,lab,0.0915224,7880.36,47122.9,38980.7,240112,785.3816667,78.8036,240109,3,785.3816667,78.8036
240112-4,12,Trial    37,240112,Arena 4,m,warm,lab,0.271844,23455.5,77750.8,8532.34,240112,1295.846667,234.555,240109,3,1295.846667,234.555
240113-1,13,Trial    38,240113,Arena 1,f,warm,lab,0.273039,22152.8,73700.5,7452.47,240113,1228.341667,221.528,240109,4,1228.341667,221.528
240113-2,14,Trial    38,240113,Arena 2,m,warm,lab,0.335855,23068.4,64148.1,4545.87,240113,1069.135,230.684,240109,4,1069.135,230.684
240113-3,15,Trial    38,240113,Arena 3,f,cold,lab,0.0771445,6611.02,45302.7,40395.9,240113,755.045,66.1102,240109,4,755.045,66.1102
240113-4,16,Trial    38,240113,Arena 4,m,cold,lab,0.0335756,2895.29,39431,46801.4,240113,657.1833333,28.9529,240109,4,657.1833333,28.9529
240114-1,17,Trial    39,240114,Arena 1,f,cold,lab,0.322195,27837.7,85204.9,1195.1,240114,1420.081667,278.377,240109,5,1420.081667,278.377
240114-2,18,Trial    39,240114,Arena 2,f,warm,lab,0.283032,23982.3,82427.2,2315.79,240114,1373.786667,239.823,240109,5,1373.786667,239.823
